id_municipio,lon,lat,area_km2,n_sinistros,n_vitimas,n_fatal,is_fatal,pib,n_pav,pav,domicilios,populacao,taxa_alfabetizacao,idade_mediana,indice_envelhecimento
3554508,-47.707787924837625,-23.04917479728013,405.034,0.0,0.0,0.0,0.0,2473359000.0,0.0,0.0,13834.0,37543.0,0.97547,37.0,76.1
2209450,-42.705006743297375,-6.048818077347389,34.444,0.0,0.0,0.0,0.0,21018000.0,0.0,1.589468351512347,606.0,2137.0,0.7804,31.0,43.73
1101468,-61.54563768206775,-13.173661989895358,6014.733,0.0,0.0,0.0,0.0,327048000.0,30.01092287265128,1.3022830171481563,740.0,2108.0,0.93152,33.0,32.71
3154606,-44.0719124526096,-19.77953013738348,155.105,187.0,465.0,3.0,1.0,5754239000.0,0.0,28.64312083003928,113092.0,322653.0,0.95159,33.0,41.21
3113602,-45.664420238428775,-22.078607712398885,181.009,30.0,74.0,3.0,1.0,252766000.0,0.0,18.807205006466347,2435.0,6777.0,0.93149,38.0,74.26
2308609,-40.04459433943593,-4.914640049533423,892.538,0.0,0.0,0.0,0.0,179307000.0,0.0,0.0,5827.0,17148.0,0.7863,35.0,66.63
2503753,-37.80340881250001,-6.9589800406462174,282.693,0.0,0.0,0.0,0.0,44212000.0,0.0,0.0,883.0,2736.0,0.71191,35.0,57.67
1710904,-48.03332386192679,-8.316212722126085,1246.349,0.0,0.0,0.0,0.0,156514000.0,0.0,0.0,1274.0,3575.0,0.84096,33.0,48.72
2602902,-35.08589163001595,-8.269241600691664,445.386,43.0,103.0,1.0,1.0,14474714000.0,0.0,20.929459953479903,71735.0,202831.0,0.89814,34.0,40.85
3138625,-50.64766664576096,-19.407348942978857,1317.153,0.0,0.0,0.0,0.0,406146000.0,0.0,0.0,3320.0,8650.0,0.93969,35.0,48.18
2802809,-37.52884828156484,-11.475493949987907,316.316,0.0,0.0,0.0,0.0,254736000.0,0.0,0.0,5261.0,16527.0,0.79558,29.0,30.89
5002159,-56.69972128231412,-20.54858641817418,2589.14,1.0,3.0,0.0,0.0,511355000.0,0.0,0.0,3045.0,8520.0,0.91111,34.0,44.64
2925402,-39.772051642574944,-15.681217616183837,1111.567,0.0,0.0,0.0,0.0,130209000.0,0.0,0.0,3340.0,10267.0,0.85362,33.0,47.02
5206404,-50.06519690363334,-14.63980172677179,4673.037,0.0,0.0,0.0,0.0,613757000.0,0.0,0.0,6186.0,17006.0,0.90523,36.0,50.49
2405504,-35.98677978317144,-5.6136892388148185,254.012,0.0,0.0,0.0,0.0,62530000.0,0.0,0.0,795.0,2428.0,0.78594,34.0,56.5
4213351,-50.41857945116737,-27.18030598707525,396.882,10.0,27.0,1.0,1.0,153410000.0,0.0,11.864247531500604,1063.0,3205.0,0.92734,31.0,36.82
1600808,-52.06115681624584,-0.9964500097750002,2508.979,0.0,0.0,0.0,0.0,252760000.0,0.0,0.0,3006.0,11244.0,0.87396,24.0,16.92
4205175,-52.578390534219054,-26.739731464739464,103.838,0.0,0.0,0.0,0.0,67857000.0,0.0,0.0,1173.0,3402.0,0.91483,30.0,39.19
3538006,-45.45928359612368,-22.87999515136064,731.356,104.0,266.0,7.0,1.0,13719557000.0,0.0,33.7804270914743,57994.0,165068.0,0.97419,36.0,58.62
5107750,-58.05095643388245,-15.050868850230527,1753.38,0.0,0.0,0.0,0.0,100560000.0,0.0,0.0,1385.0,3670.0,0.88987,38.0,62.28
5107743,-52.541401941295,-10.064478856604964,5623.39,0.0,0.0,0.0,0.0,334645000.0,0.0,0.0,890.0,2625.0,0.92748,30.0,21.63
2512036,-38.519849086984735,-6.38974476422853,97.758,0.0,0.0,0.0,0.0,46464000.0,13.776546771360822,3.724408363099312,1277.0,3830.0,0.70524,33.0,53.58
2901155,-41.522878600854526,-11.406144410276596,822.373,0.0,0.0,0.0,0.0,172892000.0,0.0,0.0,5148.0,15088.0,0.82511,32.0,45.59
3138609,-43.88691475903138,-21.799418278078512,848.564,21.0,58.0,5.0,1.0,360158000.0,0.0,32.41779399656423,6876.0,17145.0,0.93333,39.0,89.05
1101450,-61.4153806539181,-12.262309979338225,2548.683,0.0,0.0,0.0,0.0,164073000.0,0.0,0.0,1482.0,4078.0,0.89528,34.0,37.82
3554607,-49.61039776164939,-23.195786161044836,196.79,0.0,0.0,0.0,0.0,62755000.0,0.0,0.0,975.0,2451.0,0.93954,40.0,108.47
3105400,-43.49549313252516,-19.89162404392624,340.14,8.0,25.0,1.0,1.0,1727167000.0,0.0,5.36601760752138,10617.0,30681.0,0.95708,35.0,54.52
2300408,-40.29848295251798,-6.605120334959668,2438.563,0.0,0.0,0.0,0.0,146744000.0,0.0,0.0,4923.0,14059.0,0.71662,35.0,64.28
4302584,-53.75177549392709,-28.35431243829126,200.497,15.0,49.0,3.0,1.0,133110000.0,0.0,16.278344565572645,807.0,2150.0,0.96313,45.0,140.72
3171303,-42.88550395822541,-20.740418547073183,299.418,0.0,0.0,0.0,0.0,2004832000.0,0.0,0.0,29055.0,76117.0,0.95799,36.0,79.13
